id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8357,Dome in Aptos · ★4.88 · 1 bedroom · 2 beds · 1 bath,24281,Kitty And Michael,,Unincorporated Areas,37.00939,-121.88547,Entire home/apt,168,2,1860,2023-12-26,10.57,2,0,106,
11879,Home in Aptos · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,44764,Steven,,Unincorporated Areas,36.98048,-121.88129,Private room,95,3,99,2023-10-08,0.61,3,179,14,
31721,Cottage in Santa Cruz · ★4.73 · 1 bedroom · 1 bed · 1 bath,136376,Annie,,City of Capitola,36.95849,-121.97207,Entire home/apt,197,4,371,2023-12-16,2.75,2,339,62,
37791,Rental unit in Santa Cruz · ★4.59 · 1 bedroom · 1 bed · 1 bath,162553,Katie,,City of Santa Cruz,36.97425,-122.00706,Entire home/apt,98,31,90,2023-12-17,0.55,1,235,1,
43785,Home in Santa Cruz · ★4.88 · 1 bedroom · 2 beds · 1 private bath,191477,Caroline,,City of Santa Cruz,36.97774,-122.03403,Private room,105,2,579,2023-12-28,3.57,1,0,43,
57031,Home in Aptos · 2 bedrooms · 2 beds · 1 bath,44764,Steven,,Unincorporated Areas,36.98111,-121.88124,Entire home/apt,129,10,1,2018-08-22,0.02,3,83,0,
72288,Cottage in Felton · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,366768,Cynthia,,Unincorporated Areas,37.08876,-122.04489,Entire home/apt,222,1,713,2023-11-25,4.57,1,0,30,
126012,Cabin in Corralitos · ★4.91 · 1 bedroom · 1 bed · 1 bath,625642,Mary Jane,,Unincorporated Areas,37.03283,-121.827,Entire home/apt,168,1,698,2023-12-15,4.59,2,0,76,
153903,Treehouse in Watsonville · ★4.90 · 1 bedroom · 1 bed · 1 bath,625642,Mary Jane,,Unincorporated Areas,37.03054,-121.8258,Entire home/apt,173,1,980,2023-12-15,6.45,2,0,77,
193973,Tiny home in Santa Cruz · ★4.85 · 2 beds · 1 bath,100114471,Janiece,,City of Santa Cruz,36.965901229365684,-121.9998662766653,Entire home/apt,135,1,538,2023-12-13,3.64,16,332,3,
198171,Home in Santa Cruz · ★4.75 · 1 bedroom · 2 beds · 1 bath,187953,Gail,,City of Santa Cruz,36.95545,-122.03731,Entire home/apt,166,3,544,2023-12-30,3.61,1,303,35,
200203,Home in Ben Lomond · ★4.96 · 1 bedroom · 1 bed · 3 shared baths,976416,Justin,,Unincorporated Areas,37.05707,-122.07095,Private room,150,2,199,2023-10-01,1.32,2,0,4,
207329,Home in Santa Cruz · ★4.88 · 4 bedrooms · 5 beds · 2.5 baths,918166,Sun,,Unincorporated Areas,36.96566,-121.98092,Entire home/apt,611,2,297,2023-12-25,1.98,1,0,25,
260857,Cottage in Santa Cruz · ★4.80 · 3 bedrooms · 3 beds · 1 bath,1368824,Mara,,City of Santa Cruz,36.96946,-122.04446,Entire home/apt,350,30,452,2023-01-14,3.17,4,362,1,
264450,Home in Santa Cruz · ★4.95 · 3 bedrooms · 3 beds · 1 bath,1387567,Brit,,City of Santa Cruz,36.96075,-122.02605,Entire home/apt,304,3,202,2023-11-27,1.37,1,228,18,
266427,Home in Santa Cruz · ★4.63 · 2 bedrooms · 2 beds · 2 baths,951619,Rikki,,City of Santa Cruz,36.95984,-122.03779,Entire home/apt,385,2,271,2023-08-20,1.84,1,365,1,
302800,Cottage in Soquel · ★4.95 · 1 bedroom · 1 bed · 1 bath,1547341,Jay,,Unincorporated Areas,37.05531,-121.9605,Entire home/apt,199,2,528,2023-12-25,3.64,2,146,49,
350780,Home in Los Gatos · ★4.97 · 2 bedrooms · 2 beds · 1 bath,173208,Mark & Hope,,Unincorporated Areas,37.10408,-121.94476,Entire home/apt,156,2,128,2023-10-29,0.91,1,353,26,
454433,Home in Davenport · ★4.70 · 1 bedroom · 3 beds · 1 bath,2094237,Michael,,Unincorporated Areas,37.0107,-122.1937,Entire home/apt,175,1,385,2023-11-12,2.72,1,333,22,
494132,Guest suite in Soquel · ★4.77 · 1 bedroom · 1 bed · 1 private bath,3177,Jenni & Doug,,Unincorporated Areas,36.99327,-121.94547,Private room,110,1,466,2023-12-02,3.31,1,0,27,
558146,Bungalow in Santa Cruz · ★4.78 · 3 bedrooms · 5 beds · 2 baths,1368824,Mara,,City of Santa Cruz,36.96915,-122.04283,Entire home/apt,464,31,47,2023-07-25,0.34,4,365,1,
562550,Home in Ben Lomond · ★4.97 · 1 bedroom · 1 bed · 2.5 shared baths,976416,Justin,,Unincorporated Areas,37.06431,-122.06851,Private room,200,2,114,2023-09-04,0.81,2,28,3,
604260,Home in Aptos · ★4.87 · 2 bedrooms · 2 beds · 2.5 baths,15867956,Surf City,,Unincorporated Areas,36.96833,-121.90516,Entire home/apt,304,3,134,2023-10-30,1.00,50,356,19,
604281,Home in Santa Cruz · ★4.96 · 3 bedrooms · 4 beds · 3 baths,911803,Joyce,,City of Capitola,36.963902,-121.962532,Entire home/apt,450,2,193,2023-11-19,1.66,1,341,19,
690397,Bungalow in Santa Cruz · ★4.64 · 2 bedrooms · 2 beds · 1 bath,238088,Dore,,City of Capitola,36.96073,-121.96995,Entire home/apt,195,3,500,2023-11-27,3.70,1,285,22,
720801,Home in Santa Cruz · ★4.81 · 3 bedrooms · 3 beds · 2 baths,10973114,Bruce,,City of Santa Cruz,36.97242,-122.0118,Entire home/apt,370,4,111,2023-11-23,0.82,1,313,6,
744215,Home in Soquel · ★4.78 · 3 bedrooms · 4 beds · 2 baths,3900261,Jerome,,Unincorporated Areas,36.99251,-121.94394,Entire home/apt,485,2,207,2023-09-04,1.58,1,236,10,
769642,Home in Santa Cruz · ★4.85 · 3 bedrooms · 3 beds · 2.5 baths,4060026,Beth,,City of Santa Cruz,36.98511,-122.01379,Entire home/apt,600,2,95,2022-10-10,0.75,1,68,0,
846127,Guesthouse in Santa Cruz · ★4.84 · 1 bedroom · 1 bed · 1 bath,256935,Jason,,City of Santa Cruz,36.97723,-122.00709,Entire home/apt,270,2,90,2023-08-20,0.68,2,333,3,
927471,Home in Scotts Valley · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,4990689,Eden,,Unincorporated Areas,37.10462,-121.98854,Private room,72,2,225,2023-09-24,1.79,2,55,17,
938306,Rental unit in Santa Cruz · ★4.95 · 1 bedroom · 2 beds · 1 bath,5067791,Michael And Mary,,City of Santa Cruz,36.97706,-122.02967,Entire home/apt,210,29,99,2023-10-14,0.92,1,119,17,
1041390,Home in Scotts Valley · ★4.91 · 1 bedroom · 1 bed · 1 bath,5733253,Mp,,City of Scotts Valley,37.04572,-122.0207,Entire home/apt,91,20,55,2023-09-14,0.44,2,145,6,
1072272,Home in Santa Cruz · ★4.81 · 3 bedrooms · 3 beds · 1 bath,5177794,Diana,,City of Santa Cruz,36.96902,-122.02937,Entire home/apt,325,2,202,2023-12-28,1.59,1,250,49,
1080652,Guesthouse in Aptos · ★4.92 · 1 bedroom · 1 bed · 1 private bath,5944077,Judy,,Unincorporated Areas,36.99951,-121.87681,Private room,295,2,328,2023-12-01,2.54,2,363,15,
1089732,Rental unit in Santa Cruz · ★4.68 · 1 bedroom · 1 bed · 1 bath,4261488,Hallie,,City of Santa Cruz,36.97975,-122.01388,Entire home/apt,185,3,124,2023-10-09,0.96,4,60,10,
1187783,Home in Santa Cruz · ★4.93 · 3 bedrooms · 5 beds · 2.5 baths,4123746,Lilian,,City of Capitola,36.9596,-121.9742,Entire home/apt,600,2,322,2023-11-06,2.51,1,179,23,
1226199,Cottage in Aptos · ★4.79 · 2 bedrooms · 3 beds · 2 baths,5402402,Jeff,,Unincorporated Areas,36.96954,-121.89811,Entire home/apt,135,30,426,2023-03-22,3.31,1,304,1,
1349898,Home in Ben Lomond · ★4.94 · 2 bedrooms · 2 beds · 1 private bath,7324423,Roger,,Unincorporated Areas,37.08016004691656,-122.06979240102771,Private room,179,2,326,2023-12-17,2.68,3,357,25,
1411830,Home in Santa Cruz · ★4.83 · 3 bedrooms · 3 beds · 2 baths,7611557,William,,City of Santa Cruz,36.9659,-122.00963,Entire home/apt,375,5,46,2023-08-12,0.50,1,73,3,
1426294,Guest suite in Santa Cruz · ★4.72 · Studio · 1 bed · 1 bath,3849831,Courtney,,City of Santa Cruz,36.96537,-122.00497,Entire home/apt,179,2,337,2023-10-08,2.66,1,0,24,
1434279,Guesthouse in Santa Cruz · ★4.93 · 1 bedroom · 2 beds · 1 bath,7708882,Khristina,,City of Santa Cruz,36.95912,-122.02632,Entire home/apt,281,4,90,2023-12-14,0.71,2,309,19,
1434388,Guesthouse in Santa Cruz · ★4.99 · 1 bedroom · 2 beds · 1 bath,7708882,Khristina,,City of Santa Cruz,36.95759,-122.02633,Entire home/apt,274,4,118,2023-12-07,0.93,2,318,12,
1459083,Cottage in Santa Cruz · ★4.86 · 2 bedrooms · 5 beds · 1 bath,7821973,Ryan,,City of Santa Cruz,36.96606,-122.00193,Entire home/apt,509,2,166,2021-10-03,1.31,1,332,0,
1508357,Home in Aptos · ★4.76 · 4 bedrooms · 5 beds · 2 baths,4373958,Carlo,,Unincorporated Areas,36.97476,-121.90147,Entire home/apt,499,3,42,2023-06-26,0.34,1,364,2,
1535050,Home in Bonny Doon · ★4.96 · 1 bedroom · 2 beds · 1 private bath,8186343,Sitah,,Unincorporated Areas,37.06215,-122.14795,Private room,215,2,93,2023-12-28,1.35,2,81,16,
1574540,Guesthouse in Santa Cruz · ★4.86 · 1 bedroom · 2 beds · 1 bath,4731682,Carla,,City of Santa Cruz,36.96689,-122.0309,Entire home/apt,253,2,741,2023-11-29,5.90,1,0,60,
1615942,Home in Santa Cruz · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,8600588,Dale,,City of Capitola,36.96720504760742,-121.95957946777344,Private room,149,2,213,2023-10-08,1.70,1,348,12,
1649986,Guesthouse in Santa Cruz · ★4.83 · 1 bedroom · 1 bed · 1 bath,1803583,Suzanne,,City of Santa Cruz,36.98182,-122.01683,Entire home/apt,133,1,881,2023-12-16,7.12,2,163,76,
1657147,Home in Santa Cruz · ★4.89 · 3 bedrooms · 3 beds · 2.5 baths,8784848,Wallace,,City of Santa Cruz,36.98856,-121.98754,Entire home/apt,743,2,163,2023-06-18,1.32,1,2,1,
1663396,Place to stay in Scotts Valley · ★4.89 · 1 bedroom · 3 beds · 1 shared bath,4990689,Eden,,Unincorporated Areas,37.10434,-121.98945,Private room,71,2,184,2023-09-20,1.53,2,57,12,
1671115,Guesthouse in Santa Cruz · ★4.84 · Studio · 1 bed · 1 bath,8847022,Erin,,City of Santa Cruz,36.96754,-122.03737,Entire home/apt,154,2,204,2023-12-18,1.75,1,117,33,
1722167,Home in Ben Lomond · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7324423,Roger,,Unincorporated Areas,37.08015760253054,-122.06973470541678,Private room,93,2,279,2023-12-28,2.23,3,357,10,
1873477,Home in Santa Cruz · ★4.77 · 3 bedrooms · 3 beds · 2 baths,9761785,Pearne Properties,,City of Santa Cruz,36.94976,-122.04835,Entire home/apt,635,2,80,2023-12-17,0.73,1,0,6,
1932708,Guest suite in Felton · ★4.79 · 1 bedroom · 2 beds · 1 bath,9576679,Rebekah,,Unincorporated Areas,37.0501,-122.06125,Entire home/apt,145,2,231,2023-11-25,1.90,1,73,35,
2022861,Rental unit in Aptos · ★4.83 · 1 bedroom · 1 bed · 1 private bath,10341402,Jeanell,,Unincorporated Areas,36.97596,-121.92451,Private room,325,1,203,2023-10-09,1.67,4,0,7,
2056872,Loft in Santa Cruz · ★4.80 · 3 bedrooms · 6 beds · 1 bath,4622744,Ahnalisa,,City of Santa Cruz,36.97049,-122.02523,Entire home/apt,258,1,520,2023-08-27,4.29,1,179,46,
2131819,Guesthouse in Santa Cruz · ★4.88 · 2 bedrooms · 3 beds · 1 bath,10041181,Howard,,Unincorporated Areas,37.04576,-122.14945,Entire home/apt,230,2,365,2023-11-25,3.12,3,0,33,
2150339,Rental unit in Aptos · ★4.75 · 1 bedroom · 2 beds · 1 bath,10974040,J.R.,,Unincorporated Areas,36.98119,-121.92326,Entire home/apt,75,30,314,2023-12-15,2.61,2,202,4,
2159387,Rental unit in Santa Cruz · ★4.89 · Studio · 1 bed · 1 bath,11018734,Christine,,City of Capitola,36.97222,-121.9707,Entire home/apt,151,1,748,2023-12-17,6.26,1,0,79,
2228364,Cottage in Aptos · ★5.0 · 2 bedrooms · 4 beds · 1 bath,5697702,Yoko,,Unincorporated Areas,36.97599,-121.91289,Entire home/apt,180,30,22,2023-11-01,1.04,1,40,3,
2314064,Rental unit in Santa Cruz · ★4.90 · 1 bedroom · 1 bed · 1 bath,11816408,Matthew,,City of Santa Cruz,36.95609,-122.02805,Entire home/apt,334,2,498,2023-11-21,4.18,1,0,26,
2483297,Guesthouse in Santa Cruz · ★4.83 · 1 bedroom · 2 beds · 1 bath,12705485,Beth,,City of Santa Cruz,36.97421,-122.03983,Entire home/apt,181,30,434,2023-02-12,3.64,1,211,1,
2764760,Cottage in Ben Lomond · ★4.95 · 1 bedroom · 2 beds · 1.5 baths,5620286,Ellen,,Unincorporated Areas,37.07932,-122.08786,Entire home/apt,180,1,810,2023-12-29,6.86,1,272,90,
2777595,Townhouse in Santa Cruz · ★4.79 · 3 bedrooms · 6 beds · 3 baths,14175116,Laura,,City of Santa Cruz,36.96480179,-122.02200317,Entire home/apt,471,1,511,2023-11-26,4.46,2,0,47,
2809695,Home in Bonny Doon · ★4.83 · 3 bedrooms · 4 beds · 2 baths,14371426,Yvette,,Unincorporated Areas,37.03385,-122.14401,Entire home/apt,350,2,12,2015-10-19,0.12,1,166,0,
2979438,Home in Santa Cruz · ★4.85 · 2 bedrooms · 6 beds · 2 baths,15196738,Ansel'S Getaway,,Unincorporated Areas,36.96281192754464,-121.98963669085417,Entire home/apt,359,2,73,2023-12-26,0.77,1,359,11,
3084796,Guesthouse in Santa Cruz · ★4.90 · Studio · 1 bed · 1 bath,4549298,Anina,,City of Santa Cruz,36.97459,-122.00339,Entire home/apt,111,6,58,2023-12-10,0.50,1,330,5,
